Word,Definition,Image_Search,Image_Link,Sketch_Link
ABYSMAL,very bad,very bad,https://images.pexels.com/photos/8831810/pexels-photo-8831810.jpeg,https://pixabay.com/get/g373570a3f09cae88bdd4c9bd697bfd18f16ad4566849bdfa5f40a57d97c7848ed38b3799268e98f44fe2ee8d5fa14c312ea03a797ded66166486c8396e836f41_1280.png
ACCRETION,gradual growth,layers building growing,https://images.pexels.com/photos/33672292/pexels-photo-33672292.jpeg,https://pixabay.com/get/g5700329738713d31bff38b82a4df64ab379420735c4f693b61eef683bd50df700600332cdd4f497abcf5bcd447ed41ad6e6817be7c4b2377df391213724a4e5a_1280.png
ACCRUE,to accumulate,accumulate,https://images.pexels.com/photos/28184340/pexels-photo-28184340.png,https://pixabay.com/get/g42d502592c3dd90d86ab354ccdf20e48c83eef44575e5d82374e8855cd2d72097a584791d6ebff247a3896c3c83302a5_1280.png
ADAMANT,unyielding,stubborn refuse change,https://images.pexels.com/photos/31587977/pexels-photo-31587977.jpeg,https://pixabay.com/get/gf5373865648f51a7e5cf666bebedd8e18143bde6a1c170c82ac9f8be4c8bd5c1d701ff1f79d0581f0c8fdc800fe533e1cc3fe2ee7335877a2c4e266d99f7eb45_1280.png
ADJUNCT,addition,extra addition accessory,https://images.pexels.com/photos/29502321/pexels-photo-29502321.jpeg,https://pixabay.com/get/ga5f9f3b33be4e9b53d2cb0b69d533c0f1e9c67c430faca70e2e18163b3306580d2cfce943ff769b443f4683638fd82792d246f5b24444bed841d534f06315f0e_1280.png
ADMONISH,to warn,scold warn finger point,https://images.pexels.com/photos/8832238/pexels-photo-8832238.jpeg,https://pixabay.com/get/g216f42ab95a14c7f7d76de480852848060d7e37fc46827293f1c7f58034c0a9147e8f170f2c9c39ce5f6d668bd59d5f5fa6713eac8a7f5f327acc4a873cecb3a_1280.png
ADULTERATE,to corrupt,contaminate impure mix,https://images.pexels.com/photos/12948553/pexels-photo-12948553.jpeg,https://pixabay.com/get/g36158fe27be8b3c429eb0ea8c911d29a943c411547e89de517a074c40cc1065753c5c7ff813297606a92b0c11ee6d55ab3ae32cd37b73ff8a4fd22ad6c66e8e5_1280.png
AESTHETIC,artistic,beautiful art design,https://images.pexels.com/photos/1240988/pexels-photo-1240988.jpeg,https://pixabay.com/get/g1f0cf449fa517eaac0a08181530247616395698e9791258f9b7ea2ec1574ede9225c453a6bf0cd8a7542cfee5cb9440fc895d6a8d081330dd7b9d1f15aab2fcd_1280.png
AFFECTED,pretentious,fake pretentious pose,https://images.pexels.com/photos/10339049/pexels-photo-10339049.jpeg,https://pixabay.com/get/ga3cda5511448bfd68b008f37a3b87c94b9820ba62b6b33bff1b8772c007cc62bd4de09fb35734791f939d33931a0fd3dbd0ad4a955a3e4f5b68f41c569d18aab_1280.png
AFFINITY,natural liking,connection bond heart,https://images.pexels.com/photos/18741651/pexels-photo-18741651.jpeg,https://pixabay.com/get/g77455911ae3f6934f89564e1ffad9c72330972e5bcc99a9ba88a5ed2b194850e1c1a4cc0370bea9084d7c2000b46e8be7fab6fd1a4fc760714880db87f6d8ddc_1280.png
AGGRANDIZE,to exaggerate,exaggerate enhance bigger,https://images.pexels.com/photos/30188664/pexels-photo-30188664.png,https://pixabay.com/get/g9d3798c5185e789ede931126abe63f46bbdc6a99c52ceac19c8808316130da318385f8dd2fed7c988253a94403c50269_1280.png
AGGREGATE,total,total,https://images.pexels.com/photos/11320610/pexels-photo-11320610.jpeg,https://pixabay.com/get/g501b2c4f72e2515b5e297e4785dd7a9c1d54c29fbaf9288166cbc92f2660f236675e6159126f4eca587f4fc0ebbf034ebe253ba6a88ec21452649cbb2fe9f9f5_1280.png
ALACRITY,eagerness,enthusiastic jump joy,https://images.pexels.com/photos/1644910/pexels-photo-1644910.jpeg,https://pixabay.com/get/g79d41b33a1d5d20a4a83043cff93717a1b422971176c885a017b2849499872504b8c7a6eebd0b8d81dbb0b3608627048c7ba514436d95e66f9593ae6481b61fb_1280.png
ALCHEMY,medieval chemistry,magic potion transform,https://images.pexels.com/photos/31251024/pexels-photo-31251024.jpeg,https://pixabay.com/get/gdc913d4eeae3fcb87820e2a8b52ddef021c57022279952957f1cd977a8a784dfd602ba4d5319e5e4583a0b92d73d7d0e2011691e586e2b15d09f104c4a4f280c_1280.png
ALLAY,to calm,calm soothe fear,https://images.pexels.com/photos/30718340/pexels-photo-30718340.jpeg,https://pixabay.com/get/g69d11cf47dec5b9639481b722dcd57ca9fe799dc8e51871b100890ec11597fb67d6d4d35aa6c00a72e602e05ece4f20c64996de9d5f287a289ed71275ee91338_1280.png
ALLEVIATE,to ease,reduce pain relief,https://images.pexels.com/photos/20860595/pexels-photo-20860595.jpeg,https://pixabay.com/get/gc85adaa9663ce50eaf7e9a730de965d9ae99ab209dca5fe41256ab2b661dcb5551f723ce21cd996a2f1a4a9fef63d2573792c9e822c77c907156bf8a66acde78_1280.png
ALLOY,mixture,mixture,https://images.pexels.com/photos/34270742/pexels-photo-34270742.jpeg,https://pixabay.com/get/g6f49f15ffb6c4b4baf799665f0109e49e4844cfce82857605329dd0b7eb342e4f06472bca6b12a37d1c05167699a20a0f326f9d9e2c43d7d5d4378b30a7c3bf1_1280.png
ALLURE,attractiveness,attractiveness,https://images.pexels.com/photos/30509793/pexels-photo-30509793.jpeg,https://pixabay.com/get/g22f43b87a6477a3c185de67f84b6965d5bc77fea531beb597f1dcc9257bae6775b7be8015915693839e2b91225657463704a1604149cd7fe7b5193bef1509682_1280.png
AMALGAMATE,to combine,merge combine together,https://images.pexels.com/photos/35637717/pexels-photo-35637717.jpeg,https://pixabay.com/get/gdbbf8c33e595a31095fb9ba3b36a765a84b8edea1ef467c25a911e7b3e77e148932a067c8ae02d83e3146a8940967da43122996396a27cb34f090f55cd277500_1280.png
AMBIGUOUS,unclear,confused unclear question,https://images.pexels.com/photos/14997034/pexels-photo-14997034.jpeg,https://pixabay.com/get/g2a06b04612fefe4025da6c1138e46600c171302f087b7d57e9b5322ecf962fb6487916ebe0543dbab7dc10c2f9d7276ac5249a218dcc8eee4db8cc2ffa846ef4_1280.png
AMBIVALENCE,mixed feelings,undecided torn conflict,https://images.pexels.com/photos/10057682/pexels-photo-10057682.jpeg,https://pixabay.com/get/gc4658f95e8136d29f13a678e6996c0cb6b303c40a29b7dc5611d25d112cbb82dbc5c94ed457dbf2cfad4549b730191337d81d9b5e18a9d8251548a38fd8d8a0f_1280.png
AMBROSIA,delicious food,delicious food,https://images.pexels.com/photos/8743912/pexels-photo-8743912.jpeg,https://pixabay.com/get/g7ff8c23bed4481ba0327f80355dad8fc1800fbfa22fc2574fbc999876e3c7f145d2ea2709d510622fbbe43bb4e6d7a165cf07ea9e4a0a63005c51cf390a37532_1280.png
AMELIORATE,to improve,improve better progress,https://images.pexels.com/photos/29525552/pexels-photo-29525552.jpeg,https://pixabay.com/get/g43f47aac0c11d8f447f65d7dfaec8b10443a029f8e727cf730a8ef2b641eb6912979a37a24def249186fa85ee813fc044d64d6eb217ee96ab7a289b131d0760d_1280.png
AMENABLE,agreeable,agreeable,https://images.pexels.com/photos/8831809/pexels-photo-8831809.jpeg,https://pixabay.com/get/g94207f43e04e05b743016d211a03f466357c925d5c0d6bc32f74003ed80f11b997955481597f21677b6999dd4e78ebdd0a7da18fd016ec3151e2c752bdec6abb_1280.png
AMENITY,pleasant feature,pleasant feature,https://images.pexels.com/photos/16157525/pexels-photo-16157525.jpeg,https://pixabay.com/get/g93f5f9b98e4df138eccc3dbf3090a1d95b315724d9fc97d175b00c4f8c367b3735e2518c0bb3f98738198b669ea2eb00_1280.png
AMULET,charm,charm,https://images.pexels.com/photos/29193427/pexels-photo-29193427.jpeg,https://pixabay.com/get/gbffe9360164fb635932c4d37aa128f2039e4fca424df824423508aeed4d11cc3ee55443dbaba8075037c272e2b7fb17174ae35afb517150a87a84724e5023dc2_1280.png
ANACHRONISM,out of time,out time,https://images.pexels.com/photos/35070219/pexels-photo-35070219.jpeg,https://pixabay.com/get/ge3050a49a2393d24ba4f4d354ee0ad64a1a1931113f909b81ae2fabad83545f1b3386aa14de065cb1f5d317ef4dabedff631c4a8dde22b158468ea8d1ed0f938_1280.png
ANALGESIC,pain reliever,pain reliever,https://images.pexels.com/photos/422290/pexels-photo-422290.jpeg,https://pixabay.com/get/g12df97981ba63e21d278a8605a9a22935f7eaad71a69e3f43d4a32550b4eb66938527153631c6b0207525eb9eef8c7d195287d237496837b1f7b3d9ec2ed4314_1280.png
ANALOGOUS,comparable,comparable,https://images.pexels.com/photos/30188664/pexels-photo-30188664.png,https://pixabay.com/get/g1df4f527a3e3af4005447b723384a1efbd3359c844e5c7afe7f166627fe9c5424235718bf05493ca44a9f546310d039e90505f2bf0b401002b089b512d509358_1280.png
ANARCHY,chaos,chaos,https://images.pexels.com/photos/36347433/pexels-photo-36347433.jpeg,https://pixabay.com/get/g77e57b5473c277880174b62bca274c085ec59b327073e90511e6e507480b464fdf7e621c2565760b52b554adb352106caaf73882e04a812fb111f754d75ba376_1280.png
ANODYNE,pain reliever,pain reliever,https://images.pexels.com/photos/422290/pexels-photo-422290.jpeg,https://pixabay.com/get/g5d1699a6a364cc8bbe86d4b27e388380c27ae54007fdb8d2cd1322064f3e64a03a785759b3aad24054543aaaa458e62fabe815a780b5cc4e633f958ec562adf3_1280.png
ANOMALOUS,irregular,irregular,https://images.pexels.com/photos/11255503/pexels-photo-11255503.jpeg,https://pixabay.com/get/gaab12478f186627332dc427b5e87232b75d3da6dc1803ec39c3c154c4807f4f9674b76171325ea4ce799a324cfa8b823fda882d9dd48488f9c4ef9b2b509fb55_1280.png
ANOMIE,alienation,alienation,https://images.pexels.com/photos/36896829/pexels-photo-36896829.jpeg,https://pixabay.com/get/g3bc02ee5c4e1476849d72bdf01dbb26cc3d34ef1a43763f19e0373cac4b5cfc24031ef3c0761168e5416df4590dc023c7af3fbd269605d18b2fc43a9d0db9cc5_1280.png
ANTECEDENT,predecessor,predecessor,https://images.pexels.com/photos/18704327/pexels-photo-18704327.jpeg,https://pixabay.com/get/g3fac8c5032ef1a6243a64f3e3d4d25410b752524556ed91288a713a43c769611e3e8df01b663d64a4e76456941ef287d6272611557cb74683f605d8a35818882_1280.png
ANTEDILUVIAN,very old,very old,https://images.pexels.com/photos/3823495/pexels-photo-3823495.jpeg,https://pixabay.com/get/gf7bdf9b206a1e10262daebbf729d35c2f128033f65df45aad24716a81142d8956768803bd77117e06e7b5e17c6a6c0e5fde9b4af0ca922eebd3ad5c176a93b8f_1280.png
ANTIPATHY,strong dislike,dislike hate avoid,https://images.pexels.com/photos/8831810/pexels-photo-8831810.jpeg,https://pixabay.com/get/g85e66f709305e4224a0150663ea9498dd6b093d5b89a5fde71c769173151bfc0d5dddd5ca411c47196f0fef189ef95b217b51ab5a1d1f74bd0eb63d480e69f1d_1280.png
APATHY,indifference,bored lazy disinterested,https://images.pexels.com/photos/27796658/pexels-photo-27796658.jpeg,https://pixabay.com/get/g340ef59ee21cf0daab485d41a34d2d9577f6ee6777ecb7f3756483bff15b9afa1bfe3f9048792ac12eaf193c73615541a1bc05f3ae1756d68dbab0c482bc44f3_1280.png
APEX,peak,peak,https://images.pexels.com/photos/19404723/pexels-photo-19404723.jpeg,https://pixabay.com/get/g1129f4147c7d3c2258ab7c23289232c6e8bed276a67df43c63a0c795bfbcca7e9d2608559d69ab3fb135c3b72569cee3864a5b74dcf97aeb53551ff7dc351f56_1280.png
APOGEE,highest point,highest point,https://images.pexels.com/photos/14337707/pexels-photo-14337707.jpeg,https://pixabay.com/get/gbcbab95dfb6a8082fd53c53ce172229b0750668aa977b33fec2675dbe44404b9e7ec3193a7f84c0e44008e6ea6223da34dd9fbde31f5dbd603b60324cce41744_1280.png
APOTHEGM,saying,saying,https://images.pexels.com/photos/2748245/pexels-photo-2748245.jpeg,https://pixabay.com/get/ge3415972f83df5f5fd0f32dfbe7902edfb010a72436b87fa6c32dfbc0a8906430e1df303d79d91233b9c6486e9f43b71076c251f8b99acac288588e24b4cc115_1280.png
APPEASE,to calm,pacify calm angry,https://images.pexels.com/photos/6441474/pexels-photo-6441474.jpeg,https://pixabay.com/get/geda9e02f78dd1403eb9d0ec2c2f151ef91d9e7247b665e6253226033987125015daae7284b0923575f6f07c6681559f98fdd8f786d417bb3fce375cd2361e862_1280.png
APPELLATION,name,name,https://images.pexels.com/photos/17454531/pexels-photo-17454531.jpeg,https://pixabay.com/get/g1cbd311dfeb57a32f84fbde09e7de0ad36ff55968ba034479621bd7d3716a5e18413c6f625ee2971a59843bd88072809ac1c32d8538e8310e2506004ae077e4e_1280.png
APPOSITE,appropriate,appropriate,https://images.pexels.com/photos/8831809/pexels-photo-8831809.jpeg,https://pixabay.com/get/gaeef26c6c08cded58c2503d7cb7dce5cab5339a90697911d529eabcf285d1356fa23c32901e04c76221bb8306ddb55da1e76dfd6b8c064296464e1965e545650_1280.png
APPRISE,to inform,inform,https://images.pexels.com/photos/17382268/pexels-photo-17382268.jpeg,https://pixabay.com/get/g738514f02993be39f99b02c3f8f28724ab17834933137803b0421490bf0809b1dbc2d64a46b6c82898931451713763e1_1280.png
APPROBATION,approval,approval,https://images.pexels.com/photos/8831809/pexels-photo-8831809.jpeg,https://pixabay.com/get/g6afcb9b73f43dce149d9fbf0077905be50be74c52a626ae9441a22be3c781ae69ab47fd5d51fe8e7522f4ee465a04e7cb472b72332992171a08255ac0461f522_1280.png
APPROPRIATE,to take,take,https://images.pexels.com/photos/8729066/pexels-photo-8729066.jpeg,https://pixabay.com/get/g5db2d33dc6eaac5b73d85c72b8090996a63b0c1e481f9e09ede7d9228783ac5ccc1658303e3cb72e1ab7356d5dccd43d652a16193ffe8a6d0f58dc690d2474c4_1280.png
APROPOS,relevant,relevant,https://images.pexels.com/photos/8834490/pexels-photo-8834490.jpeg,https://pixabay.com/get/gfb56c523f0e32883c8db054a6856f1f304d612bcd382815cbb32d4a4d0329046cc72f6e7a3603ae0d8eb34441bd5d5c9f5ef6640be04ae2d5fe07e08e3ecb444_1280.png
ARABESQUE,intricate design,intricate design,https://images.pexels.com/photos/2268540/pexels-photo-2268540.jpeg,https://pixabay.com/get/ge0c0575050b5c45624342a094cefde50383f653e476f9ca50bca53f9e6e1f84da4902ac0d4c827e3ac1bc539c3eedcf15fb6187d38f82988f6e2373809cc9305_1280.png
ARCHEOLOGY,study of ancient things,study ancient things,https://images.pexels.com/photos/31718770/pexels-photo-31718770.jpeg,https://pixabay.com/get/gcea54abd09fbf8b4065406e26c957352272fb4446dfa38b9343977938fd2643ba6662d2d343aa14f89ee317d61017a8ae3d8c9849fe74059fb3484fd7a2f83c9_1280.png
ARDOR,passion,passion,https://images.pexels.com/photos/30905880/pexels-photo-30905880.jpeg,https://pixabay.com/get/g438b64efb0cf728e7066f6f150626f8af3021176eb929c5e6e8385229b44f87a5de72dc316e8de07778b25d9a67d0542d49fb431eabae0e6c7e0ab9f16f05ff2_1280.png
ARDUOUS,difficult,climbing mountain difficult,https://images.pexels.com/photos/10229346/pexels-photo-10229346.jpeg,https://pixabay.com/get/g621018bc2e0daddeffa38b4bf922a7aa3f7c4dd63c6a7c15dfcc473848d795415ae8c9882989778346125d18366b6ad181c888bfff398eea21de21f8e630aace_1280.png
ARGOT,slang,slang,https://images.pexels.com/photos/5140821/pexels-photo-5140821.jpeg,https://pixabay.com/get/g7f2f286d697265586381502fb494b6208e11db57cec99382da7377bec3f9d492a23961f8c0125c13f4908f74217b2cea55e5a8d2eb6e915d28ed946c042d46bb_1280.png
ARREST,to stop,stop,https://images.pexels.com/photos/19964901/pexels-photo-19964901.jpeg,https://pixabay.com/get/g3b1d258c2e74ab4fd38070cd2ef7c97e7e235fc18f26d63043ad11790e8494295d8f248429a073d5b43e8355ee9c81867b1d9e1adca902e4f88a741dbba9b0c9_1280.png
ARTIFACT,object,object,https://images.pexels.com/photos/18069082/pexels-photo-18069082.png,https://pixabay.com/get/g6034d73e4cafb3a3e53809a934b4a97be23e6b1378d80146f051600f93e9540898129340750104b6f8a060e075f5abf4d7a41330f657985867ffd77bf0750010_1280.png
ARTLESS,natural,natural,https://images.pexels.com/photos/10902193/pexels-photo-10902193.jpeg,https://pixabay.com/get/g8332fc4d228763a025283761d8f418e58bf1b561c030e06532a574b323f782cc50853a4705e96929ac8b413853b46032e319ab1c0d07264eb2630fb51d99426f_1280.png
ASCETIC,self-denying,monk simple bare,https://images.pexels.com/photos/34401241/pexels-photo-34401241.jpeg,https://pixabay.com/get/g95c400e585425a0290513343bb534129efe17a06044eeee4422ec0057e4ec042fa690afe51836f249f2e9324de98b90b_1280.png
ASPERITY,harshness,rough harsh surface,https://images.pexels.com/photos/11255571/pexels-photo-11255571.jpeg,https://pixabay.com/get/g6474ccac0bb496bf61cdece275b89c52753844b348d257c29f1332c0c6a07b1b77c4d1e93d270c1d916b9c81fdc95edcdb1866803e83cc2cfb6133e6417aa6d1_1280.png
ASPERSION,slander,slander,https://images.pexels.com/photos/20143756/pexels-photo-20143756.jpeg,https://pixabay.com/get/g0124a67b96a022678549dd786555c3d04c7ccc2dd806902b64cd22049d6b96a1ed803558d9b4846353f295d71a33207fa7861774a59c441fed8365b1d263ddc8_1280.png
ASSIDUOUS,diligent,diligent,https://images.pexels.com/photos/7752790/pexels-photo-7752790.jpeg,https://pixabay.com/get/ga5a2000b5f190ee5ba6eab7f07a9d9268d39dc0054c1518380efd15888181028bfe5d2333ba0da6badf92119086f03034ffc5854e2e629faf40442612f619c7d_1280.png
ASSUAGE,to ease,soothe relief comfort,https://images.pexels.com/photos/17197912/pexels-photo-17197912.jpeg,https://pixabay.com/get/ge0c7879c95d3b899132eb3365d6614dc16fd48a23b5fdf74675fc1b4ca6bc3c3c342c37364e51f3df00ba9d4148ec066_1280.png
ASTRINGENT,harsh; binding,harsh; binding,https://images.pexels.com/photos/11984826/pexels-photo-11984826.jpeg,https://pixabay.com/get/g6a40f4fca761a6a421f3ed7a684079ce100f4cf4b77a61f3e64b7ec933678f12b09832d69b47a3d923a330546f2e6f967aa242d262019ae39b3088a0020d4ddb_1280.png
ASYLUM,refuge,refuge,https://images.pexels.com/photos/13758257/pexels-photo-13758257.jpeg,https://pixabay.com/get/g694ccb50a974debb54e075941477ca7bd6bdbac63399bfe89c6d08bf27d1e1c6ebbea647a8dbee8713c44fd9ff137d7f8b39f0462e4896c9b7198eb7688517ec_1280.png
ATAVISM,reversion,reversion,https://images.pexels.com/photos/8528647/pexels-photo-8528647.jpeg,https://pixabay.com/get/g3df72be96a8a7c380b83004eac2988debb7e0a1cc50b9e0bb08da962e829767c04091037de701d3fdc5070c4929a0b120691b4fe82359e61d7482f1eca4a8788_1280.png
ATTENUATE,to weaken,weaken,https://images.pexels.com/photos/36439557/pexels-photo-36439557.jpeg,https://pixabay.com/get/gf189d0640276b2b565b9803f73fd9cff7f1405a4a8ad8e1b2b649efddabf330903ba6d33b0d52d834a4fb056ca37f8af82a1f1e49ed5f2bb14ec69b7fb88161d_1280.png
AUDACIOUS,bold,bold daring brave,https://images.pexels.com/photos/33002130/pexels-photo-33002130.jpeg,https://pixabay.com/get/g7502a62009a29a8bceb5afd7c31ae9193df11421873a990cb72a7ca0a90782b46d214d1d78f6f23c58a17b12a0bd5c19055686f0ef9da5bed314b9a9fa48a1c3_1280.png
AUSTERE,severe,severe,https://images.pexels.com/photos/11975693/pexels-photo-11975693.jpeg,https://pixabay.com/get/gdc4f8b079489bdd68d351b9c1652dc0312302c52cffe4359276634bdc70657827eee482b17443a6463d3bd96c01a39a1ce2f7c343efc0875da6c24de3d700629_1280.png
AUTONOMOUS,independent,independent,https://images.pexels.com/photos/12367650/pexels-photo-12367650.jpeg,https://pixabay.com/get/g9638bd09cf04a3057d50df748205313c198956bed9643c861a9f5c48bc915592f7568f4596c3773a48a0a61ceb3588d9eb7aa9967873b8647ecddcdb0da5542d_1280.png
AVARICE,greed,gold money greedy,https://images.pexels.com/photos/210600/pexels-photo-210600.jpeg,https://pixabay.com/get/g39dc3368c5abb911ba7a05a343e72c72e5220e4c8add1ef39157460005188249775c8be0794f5a9a425b7991ee7d3bca7e3036f2ad383de9658152277dbe46ae_1280.png
AVER,to assert,assert,https://images.pexels.com/photos/32114787/pexels-photo-32114787.jpeg,https://pixabay.com/get/gac79ecce0073a0018a9e6c7cec0e856b85d3fbcb8ff688f060420d5a0b9994cd93fb51cad2400de21321244c9785202d_1280.png
AVOCATION,hobby,hobby,https://images.pexels.com/photos/31530915/pexels-photo-31530915.jpeg,https://pixabay.com/get/g34d3df358db3616b0ae521040d20d7e6c1a22730ed8529ab76e08f8a16042beb9df688f6a809107ad03192f29a5e8208326a3c2c23a492f5838f95783d05fbb5_1280.png
AVUNCULAR,like an uncle,like uncle,https://images.pexels.com/photos/11255417/pexels-photo-11255417.jpeg,https://pixabay.com/get/gaf3cb4eb4a322b4f919b1bfbb0455c049f6617c8ec57a8035dba89733e093ce44c61d87f42f280ee78d68d73afcafede843320d1003187f64f622b2ed7b37625_1280.png
AXIOMATIC,self-evident,self-evident,https://images.pexels.com/photos/3061307/pexels-photo-3061307.jpeg,https://pixabay.com/get/gd5b0637de17146efe8ec8fbe8e05e97e60743d0d60b20ceaa0b2e9c64c2332e71cd0a99f69b9c37a54d9f325cb8feec5402ff3920b4ab46d39733dfafc2e61d4_1280.png
BACCHANALIAN,drunken,drunken,https://images.pexels.com/photos/14617008/pexels-photo-14617008.jpeg,https://pixabay.com/get/g105c8e98543e7dfdc5edfe122244ec032fdff5047f0ad05398a27cf10cbb82f55d02e8eeb30dbfa4dc39c98b747d48abd23a2c486985e4c7a2094e8c4189be67_1280.png
BANAL,trite,boring common ordinary,https://images.pexels.com/photos/11497193/pexels-photo-11497193.jpeg,https://pixabay.com/get/gdc1c6fbaab53b2e544dfb308f576de23ac4255e19c2314eb7da5d8d093193beec6d8bd6860f7f3c54a08213fda95e3eafccf3f966539bb2fa2bb558a24d0adb4_1280.png
BANTER,teasing,teasing,https://images.pexels.com/photos/34988575/pexels-photo-34988575.jpeg,https://pixabay.com/get/gaeb962033d92e2e34ee0e208af7adf2820fd6f7b7fa7b4dfcad50ae72783b88a72a200c1a1796837caae73123939a75c_1280.png
BARD,poet,poet,https://images.pexels.com/photos/15361392/pexels-photo-15361392.jpeg,https://pixabay.com/get/g021200671ac7a0bc83b088eac1e20c82bc3f55e6404648ecda1aa30bda048c98d33a1963b38ed063d8763388d3b2dcfc1465d4031e9a5220ec5bc970f5e492f7_1280.png
BAWDY,indecent,indecent,https://images.pexels.com/photos/13466050/pexels-photo-13466050.png,https://pixabay.com/get/geb6783b60e7ec10fe0d10e5753eb3b0c4b47cf98e65cdaf97ffdc8171dab9c3a8bac2d0448694578628316661163fb8dc4dd9bf5b2d8d8b5957d9f8466facee6_1280.jpg
BEATIFY,to bless,bless,https://images.pexels.com/photos/5979829/pexels-photo-5979829.jpeg,https://pixabay.com/get/g1ecb9e3fd09ba9dd4cc601fdf7ef476a8b162ea763a329215c04a12637f41b0a5d9e62d80ce7feca3f45873b4379fb705b25fe46eb719c51e478edd8f7750f07_1280.png
BEDIZEN,to adorn gaudily,adorn gaudily,https://images.pexels.com/photos/29366998/pexels-photo-29366998.jpeg,https://pixabay.com/get/g406ad23943bbfee805314e4b110a7157b81ca400d745fa0c427dc6e192c189593e640dcbe0498a32a985fc9ff02952359285e15472e1843a4a21e29d95951e91_1280.png
BEHEMOTH,huge creature,huge creature,https://images.pexels.com/photos/10962931/pexels-photo-10962931.jpeg,https://pixabay.com/get/g5146e6791254592e4656d232d3f96badbaccb59533764df5d174eedc0aaf31b212f7137e7da18685996fe08e25a5ebe92935a61da64a3b7c9ee637618ec28d73_1280.png
BELIE,to contradict,contradict,https://images.pexels.com/photos/31078928/pexels-photo-31078928.jpeg,https://pixabay.com/get/gb2084bc6c62f06d571828aec3f156f2bb6635791d74e3956dd44a899df4a218e769b27f8920d7c6ed0b2e29112c8c65720d0476de392a7d077f14f8c1868050a_1280.png
BENEFICENT,charitable,charitable,https://images.pexels.com/photos/15570547/pexels-photo-15570547.jpeg,https://pixabay.com/get/g558eca31c46b6c05cd9925498fdde9e378af91bf9bb90256719ad2d6ce9178988478fb467a3523cb0f51d56bc6697b8d3f2e0b65cdeeae7949be9331bc5f657c_1280.png
BIFURCATE,to split,split,https://images.pexels.com/photos/28456010/pexels-photo-28456010.jpeg,https://pixabay.com/get/g27f795e81da709124a8fafb9086b526795feff7d3bb578b2850d23542becd9018eb2f05620a1b547040265b13f349eb599934f9b7423954928d920eb6912f8f4_1280.png
