Word,Definition,Image_Search_Term,Image_Link,Sketch_Link
AESTHETIC,artistic,beautiful garden design,https://images.pexels.com/photos/33747713/pexels-photo-33747713.png,https://pixabay.com/get/ge75f71f512273def8db24c28a16a84617ab2865d96e66324978f7f3954e269b92dff6dc6edf40944761a0e2c9e11787f66abdd510b43e008d87b8913c21fdd20_1280.png
AFFABLE,friendly,smiling friendly person,https://images.pexels.com/photos/6102841/pexels-photo-6102841.jpeg,https://pixabay.com/get/g7d9e41fb1d5e8c6df3addc684294bfa6cc2e035ea323189fc4b207ecc7b4abee671d63dfbf510777a5ab7e214c4528b636b264c3f28d4e6920fd5ba01f664d88_1280.png
AFFECTED,pretentious,person acting fancy fake,https://images.pexels.com/photos/20858525/pexels-photo-20858525.jpeg,https://pixabay.com/get/gdd0e0ea66ef2a0dbd4bb59f3f04266698aacf2a3e921dd1dd94c4b2a6d721791fb7156d6185e99c5a02af7a5019e4e957aa885f64261bc4307da82b0e25655a3_1280.png
AFFINITY,natural liking,two magnets attracting,https://images.pexels.com/photos/34791005/pexels-photo-34791005.jpeg,https://pixabay.com/get/g7bd63e03d0b7f142dc34717a740302b785a5daeec17fbd5123e5d8ff2801939642797ba3165a11749bcfbaf0da6f7210fe4a94d5cfdf79c1a0aafb19e50980cc_1280.png
AFFIRMATION,positive statement,person saying yes confident,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/gae21bdbda0e84f6aa67614bd28d7bfe81a3fe3896b5411a21f21b1f5ec79033906905a5bb3704b769f6d14667fbeac1deb1507c64ecdf7c483d9f4b9b88b1182_1280.png
AFFIX,to attach,stamp on envelope,https://images.pexels.com/photos/5754097/pexels-photo-5754097.jpeg,https://pixabay.com/get/g5ee50f2c1cbaa06c3025a4c03f4a501b4fae43652e9963e9f05b4fb1651971bc57250de52b18da4fda146e5ae8d80840277697777d0c4f73549bfc480b190a51_1280.png
AFFLUENCE,wealth,nice house neighborhood,https://images.pexels.com/photos/35221620/pexels-photo-35221620.jpeg,https://pixabay.com/get/g3c2451306fd3ab7f19ce5eefce890663cbde2ac51892fec595677c5b157ac282f5d67f9ffa0e8f75f46f5cf94c972e5c33fdc067c5a9f7d3ceff85fd5af012c0_1280.png
AFFRONT,insult,person looking insulted,https://images.pexels.com/photos/20858525/pexels-photo-20858525.jpeg,https://pixabay.com/get/g78e6fba08d66cf58baeb252ecb7dd644fdda421bdb97eeab1e4a87ce8207391f30d060a52e484a43dc3c59f7960732892151a6fb48b18d9f5dec8163933cf20e_1280.png
AGGREGATE,total,pile of coins,https://images.pexels.com/photos/28552621/pexels-photo-28552621.jpeg,https://pixabay.com/get/g2a18490d3393dae1eaa9b3722e9928c44a3f52abc82aef2b9aa4ddb81380e5d6a7bbf9d36c40a1e06a0af65b23a7a47a939e3014bc689d980b4b4ddb9f73c8bb_1280.png
AGILITY,nimbleness,gymnast flipping,https://images.pexels.com/photos/33328237/pexels-photo-33328237.jpeg,https://pixabay.com/get/g9c1c4cf2a48e78b9b51ff9821aa33f2b0b153c97b0b96bbfb10f37dc38c4e6706c59ea44bdd9b0af0feb71bb50b7cfbe_1280.png
AGITATE,to stir up,person shaking bottle,https://images.pexels.com/photos/31251024/pexels-photo-31251024.jpeg,https://pixabay.com/get/g4bbfe0be8f23d078e48e76d77bd8662013238549db167c7c77b396dbeffcad04f5242ecf03d3ac2716fffa4593e43b691baa9b6b5d89c5706ab6cc83639374fd_1280.png
ALACRITY,eagerness,person jumping with joy,https://images.pexels.com/photos/28578479/pexels-photo-28578479.jpeg,https://pixabay.com/get/gafc4ca0359c13e70169d711e1e5510a6c28bfa4fa8a9e3e7fe6a65f1cbff64b03b23251f1c1e09968a96b2bbb60c953341b7120d6507d58c8005eb30def4c035_1280.png
ALIAS,false name,actor with stage name,https://images.pexels.com/photos/35211638/pexels-photo-35211638.jpeg,https://pixabay.com/get/gc21f2dd832eb5bd9a88e30a8b983cad337a7a2d3c684b5ae9aba8e2ccbf16c5ac35af95b2ef6005950ab16da9137c0683683e3e10088d6e77bad03ab7276c757_1280.png
ALIENATE,to isolate,person sitting alone,https://images.pexels.com/photos/18380398/pexels-photo-18380398.jpeg,https://pixabay.com/get/g4e822502a3600cf5f36869897ac01f8773628fdaa449d2222a654b27e23ea44fff10cfa8240cfe174e7d8db1f9b5b66a62617bbad825953afedeb3e17ee35087_1280.png
ALLEVIATE,to ease,ice pack on sore knee,https://images.pexels.com/photos/18791119/pexels-photo-18791119.jpeg,https://pixabay.com/get/g60cec9ad77f07a462ff59dabcc79573c16859aee3a30fb9dc25ad843ab38736048bfa66007cde5541d65a8c595b1ae7fbb934c087c157a9e21cdefb3bf00249c_1280.png
ALLOY,mixture,mixing metals together,https://images.pexels.com/photos/9102653/pexels-photo-9102653.jpeg,https://pixabay.com/get/g70e1da3df1ee795a4ddf695808788e8d9abd84f88305a43d6187f9c74ed41b36f166c465db7fb0c863edf79dbcaee7e10af35d5dcf0da960d5dda14d95411c9d_1280.png
ALLUDE,to hint,person winking hinting,https://images.pexels.com/photos/21838607/pexels-photo-21838607.jpeg,https://pixabay.com/get/g4a5931441b942fc80c4b0bcf6ba068f84bad9b3d5b7a1a760f6394e06fef4a66d09ed41b588ebfda277aace7bfddca31696b72d347c99b61617958adfa638574_1280.png
ALLURE,attractiveness,beautiful sunset beach,https://images.pexels.com/photos/11130621/pexels-photo-11130621.jpeg,https://pixabay.com/get/g8cebc59afa1d21714a630ff501749dbb799d84a2857c2e1204c77931eb17d93d9e0267eb4480705023aeb9fcd1b626882d9ebe84cfd543699a0bbba3c91ee069_1280.png
ALLUSION,indirect reference,book referencing another story,https://images.pexels.com/photos/4170628/pexels-photo-4170628.jpeg,https://pixabay.com/get/g2df7f9a154a759435fdb45f97f1c5d35a589dc9e2607de4249c7f67c42461dc289a69416d5e5effb43907ed9f61e7f78b96e679fbc2c2ca8895c7a637f93cf7e_1280.png
ALOFT,high up,balloon floating in sky,https://images.pexels.com/photos/21830657/pexels-photo-21830657.jpeg,https://pixabay.com/get/g9098519058695c8772d5bf25ab11ed26475b6b9d8a83c245b9b7ffdf05fed0b9ea1ee4fdde9cb69b45575c551db7b551_1280.png
ALOOF,distant,cat sitting apart from dogs,https://images.pexels.com/photos/31965431/pexels-photo-31965431.jpeg,https://pixabay.com/get/g8c32a8ec91e8c57f8abe204194cbb831af40cfb1e0d00ea4edcbdc09d0d7ceaebf5e60a0607cb556442c9a478d1296b10089958d7534c15f1f380ba086fd45ec_1280.png
ALTERCATION,quarrel,two people arguing,https://images.pexels.com/photos/19568315/pexels-photo-19568315.jpeg,https://pixabay.com/get/gc0edaa336dbd4c63cd5cc7b1ca5902f134cfd42a808d825bb9c7a21aed1637e488967b286a0db95ba395b94b88d5d8d966f471c49ecd40052824ee53f3c95fa6_1280.png
ALTRUISTIC,selfless,person donating food,https://images.pexels.com/photos/15597767/pexels-photo-15597767.jpeg,https://pixabay.com/get/g61ba1e21864a888f2b22b71e1409276c1aa80faf8670e4892e196a8e9da479aefbd420d35ec2275769f79527faf367a38b4b652dbb00ec53e95984f954e533f1_1280.png
AMALGAM,mixture,different colors mixing,https://images.pexels.com/photos/6167808/pexels-photo-6167808.jpeg,https://pixabay.com/get/gc6e52962d86ddb3fff2ba2254dd2fde7c0c33c2b9ac553e42755b3d9f9726a809b1f7ea8e5651eb47ba703e8e0d9de6c8b37c0f03d30f29c15a1738fe663dc67_1280.png
AMBIGUOUS,unclear,drawing that can be two things,https://images.pexels.com/photos/36170709/pexels-photo-36170709.jpeg,https://pixabay.com/get/gba275ba033d7dda7aac01365915880e8756ed8f5966d3f56159b5b58abcbdeb6364cb766868e5fdbd136ccb2954474f0_1280.png
AMBIVALENCE,mixed feelings,person undecided between two paths,https://images.pexels.com/photos/6451423/pexels-photo-6451423.jpeg,https://pixabay.com/get/gc6b1bd4c9a2d0e96565d481a35906ac81bd36f16d4308320de6044d0b275bd54fb9f6070b8a983aa29f30addaca4e4b8b09b22bf614f9307c864ea510ce94ad6_1280.png
AMBULATORY,able to walk,person walking with crutches,https://images.pexels.com/photos/18647362/pexels-photo-18647362.jpeg,https://pixabay.com/get/g315f54d77f495f1ecb735d8fe4f81ac8e4a235be42c934086212ef02570bb4b23655d68f84720ba0fb7360bc326c35343d564a0a8e405b4b6b7d528db81cc36f_1280.png
AMELIORATE,to improve,before after improvement,https://images.pexels.com/photos/32917527/pexels-photo-32917527.jpeg,https://pixabay.com/get/gc602d6e3af623757de10558561a3bf808119fd1e5ca923353bac3b1b808dc3dc70460e3e7f911ce45bbfc5aa90f5539390d40da73072d308fbf52a2367c6f1fc_1280.png
AMENABLE,agreeable,person nodding agreement,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/g26f57615ffac32cd7111d614746b22529caf82fc9093777e3eb38fa65368cfc8e218e46cffcf94b91c10316adaee595e420acc3997aff4f6271df86da96a554a_1280.png
AMIABLE,friendly,smiling happy person,https://images.pexels.com/photos/6102841/pexels-photo-6102841.jpeg,https://pixabay.com/get/g645f658cd966cb4c24d9b029bdbef54a4c6e89c7d651f644ec266ee4755a273774603aaa0a6f0219b369d5ac6a690d42dad0cd882d78cebe438c576b913f1862_1280.png
AMOROUS,loving,couple holding hands,https://images.pexels.com/photos/18805610/pexels-photo-18805610.jpeg,https://pixabay.com/get/g0f31f86bed4703d5d5d8751dc598a74f7eb32d506986650bebce163f56d7408e3ded8f51f87dabf8d334494194331d83ef4fa7f6e40ab79384958692333d442e_1280.png
AMORPHOUS,shapeless,blob of clay,https://images.pexels.com/photos/37109655/pexels-photo-37109655.jpeg,https://pixabay.com/get/g6f287c828da81404ab0b6422a843bdc5ce51e67cdbf7c236cffed845f59395a24a837bdd870a17525b27fc05aff5806c4d82626adcdcfd138bfda4265cb876b5_1280.png
AMPLE,plentiful,full plate of food,https://images.pexels.com/photos/31064588/pexels-photo-31064588.jpeg,https://pixabay.com/get/g057fa308c521beb2e3af6e12f558fac4b7c32f5325a7b6601683a3aae710161db226d4df85e21998895bd9c269172de5a0f881a714a5456bada38cf731ffd102_1280.png
AMPLIFY,to enlarge,speaker making sound louder,https://images.pexels.com/photos/31050364/pexels-photo-31050364.jpeg,https://pixabay.com/get/g70e430406c98867960f0fa49d5da92c0ea456754c75786f001e84e36eb773e2d86c6f4524d3f7d5f81adfd867453d7d7b30c4c3b914479769cf4f8e4acdb7ed8_1280.png
ANACHRONISM,out of time,knight using smartphone,https://images.pexels.com/photos/18780415/pexels-photo-18780415.jpeg,https://pixabay.com/get/g1c69ddaa6a141dceaffcf0a4da831a274add6283e9386ef3f69b7e0cc74f28944b7566406e0673eb6bba3f01c2d2a10e83c58eac5e9940ddd5906c4eb20c6dfc_1280.png
ANALOGY,comparison,comparing apple and orange,https://images.pexels.com/photos/34949146/pexels-photo-34949146.jpeg,https://pixabay.com/get/gd2435f28e4e523541c1db8d93634cc36d418e943940516b24f266ffbcf38b64fb8f6eb9f7c1dcbce08ce60c652d90b6fa0246cf1667bfc51ac27282070558ac8_1280.png
ANARCHIST,rebel,person breaking rules,https://images.pexels.com/photos/16946736/pexels-photo-16946736.jpeg,https://pixabay.com/get/gf4cf7c593808d5cbb1c7ab3135015f16e10ee090fd684eb1a4905a1fbf25c9747296b3fc72063c912db0b59082dba95907225e46fc3d66b3a1a8c02162a38daf_1280.png
ANARCHY,chaos,classroom with no teacher,https://images.pexels.com/photos/12866948/pexels-photo-12866948.jpeg,https://pixabay.com/get/g3f9cf39bbff1b7255f9a66bf135726c466c72278fe39a5f5856ba249fe4cc1bcc386ab99992d73dd406d1a4190fd52ea7421975dace51169ad48b28a37c3b1f6_1280.png
ANCILLARY,auxiliary,extra accessory on device,https://images.pexels.com/photos/8981857/pexels-photo-8981857.jpeg,https://pixabay.com/get/g5f37b12cbdc66374375cb02e19d6200f328bb2aa9edd2b9828c1c757b68f1e62a23d7405047b88c8c41a4a2eb5b75faddf719f46e7b0ca966078a6f98d564a6c_1280.png
ANIMATED,lively,cartoon character jumping,https://images.pexels.com/photos/28578479/pexels-photo-28578479.jpeg,https://pixabay.com/get/gfaa6512a15f0b286b46c090652d0cdb894034ab3f2e4acf07d560e7dcefc784431eb807e20e7c49293a88aa061b79e922950417860a6ab6a900f6e41ad36356e_1280.png
ANIMOSITY,hostility,two cats hissing,https://images.pexels.com/photos/37090110/pexels-photo-37090110.jpeg,https://pixabay.com/get/g128f9ca4878decc0753c24d6f30afe0dce9f4eb2a1938a2acd52bceb7c956ec28ec684e53d07d8157e85f1358fd1af52_1280.png
ANOMALY,irregularity,white sheep in black flock,https://images.pexels.com/photos/34792764/pexels-photo-34792764.jpeg,https://pixabay.com/get/g4aa46fba4e9c2c8b88d1b1163d7976cb44aaa393851c80999990261022f734f927862d9819bed9b2832b971552b89ce0_1280.png
ANTAGONISM,hostility,sports teams competing,https://images.pexels.com/photos/18780415/pexels-photo-18780415.jpeg,https://pixabay.com/get/g90bd4037f80f9912f1202929d680334b857f9faed7fe94bdabb02cc40f20a838f0375dfbcfa69461772dfe764ed86d97cad74fd9d0a31cffedce89ac07bb2776_1280.png
ANTECEDENTS,ancestors,family tree ancestors,https://images.pexels.com/photos/9730363/pexels-photo-9730363.jpeg,https://pixabay.com/get/g1098b9f8c0327189be685c3620256d487079a9e82dc9fecfed222a654b761c51b6d22a340849926928ba404f2a91f59ca8e16270f18da535b6761540ad0333e9_1280.png
ANTICLIMAX,letdown,roller coaster going down slowly,https://images.pexels.com/photos/31701975/pexels-photo-31701975.jpeg,https://pixabay.com/get/g857c3bb2b8d360d1ad20ff1b0836563ade4704a91a11871ed1a2bef803544945db84dc09bcfca8765ffeeffc20bb030ea1f6411a3f64c5272663d7dba08d9880_1280.png
ANTIPATHY,strong dislike,person backing away from spider,https://images.pexels.com/photos/9560643/pexels-photo-9560643.jpeg,https://pixabay.com/get/g4c97429e166c7b2ad78fda6f097bd92c385050f586c7c35c0f7346a383fd8dab2bc1e28ad432b0e0fef114c6ef5feee0e0c639750756f8e1828bb47e6a233859_1280.png
ANTIQUATED,outdated,old rotary phone,https://images.pexels.com/photos/36573009/pexels-photo-36573009.jpeg,https://pixabay.com/get/g0355a989a033002267e08e0b0acaad49a49576d87f97ff574a063690631a105803a98bd3375fadb4ebe675a496c51a65_1280.png
ANTISEPTIC,germ-free,hospital clean room,https://images.pexels.com/photos/12454146/pexels-photo-12454146.jpeg,https://pixabay.com/get/gdaa7c939e7b6d6b02bc0cdd330e0782314a8ce705aa0a3f0b07770e0f792f6f50be07a2ca274772003e7080f12bafe8d37139e355a23134abaf0487b2a78670e_1280.png
ANTITHESIS,opposite,day and night opposite,https://images.pexels.com/photos/1311155/pexels-photo-1311155.jpeg,https://pixabay.com/get/gd0ba6d3aeaecaa2c9e0259a194bdded7e6a731e05fa8b7e9b4ea0b05b3581de2b2666abc11eb72cb0f26c2527529152794aefb527bc48ac3910443dee0194e4b_1280.png
APATHY,indifference,person yawning bored,https://images.pexels.com/photos/16946736/pexels-photo-16946736.jpeg,https://pixabay.com/get/g558acaeb895b30050c4d061f862d2941c7fd3e1e6a29426e041c3b4af98602a7d5a171dbee736be182321c09ccb3af8389d5d31fc098c8564461d8a2b43d0da7_1280.png
APLOMB,composure,person standing confident,https://images.pexels.com/photos/20640499/pexels-photo-20640499.jpeg,https://pixabay.com/get/g82530a0ddd8661354081781cf437a8350c488ab2bb27924cdead96e04d8d3c6a4faadf2c1f3f8f466885991516c193e23eb707b0ec086b7f3eb180c3a743191b_1280.png
APOCRYPHAL,doubtful authenticity,old legend story book,https://images.pexels.com/photos/31513869/pexels-photo-31513869.jpeg,https://pixabay.com/get/gcc9897370ddafd7c42c8eea5c1a184c1c158037fb51d62c904d8c1313829eb95c9945b5da1d9e4f03f677f27cb19c0f77bc32a88d3e79cf77c9bbd76bffd6243_1280.png
